URL,Study
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10094/IM1/IM1.zarr,EMPIAR-10094
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10310/IM1/IM1.zarr,EMPIAR-10310
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10392/IM1/IM1.zarr,EMPIAR-10392
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10392/IM10/IM10.zarr,EMPIAR-10392
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10392/IM11/IM11.zarr,EMPIAR-10392
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10392/IM2/IM2.zarr,EMPIAR-10392
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10392/IM3/IM3.zarr,EMPIAR-10392
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10392/IM4/IM4.zarr,EMPIAR-10392
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10392/IM5/IM5.zarr,EMPIAR-10392
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10392/IM6/IM6.zarr,EMPIAR-10392
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10392/IM7/IM7.zarr,EMPIAR-10392
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10392/IM8/IM8.zarr,EMPIAR-10392
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10392/IM9/IM9.zarr,EMPIAR-10392
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10442/IM1/IM1.zarr,EMPIAR-10442
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10479/IM1/IM1.zarr,EMPIAR-10479
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10553/IM1/IM1.zarr,EMPIAR-10553
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10819/IM1/IM1.zarr,EMPIAR-10819
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10967/IM1/IM1.zarr,EMPIAR-10967
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10903/IM1/IM1.zarr,EMPIAR-10903
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10903/IM2/IM2.zarr,EMPIAR-10903
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-10311/IM1/IM1.zarr,EMPIAR-10311
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-11380/3cb53ffe-1801-4987-9424-5856d14a989b/3cb53ffe-1801-4987-9424-5856d14a989b.zarr,EMPIAR-11380
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-11380/4821d51d-22b0-4842-b9a0-75767b81a1e0/4821d51d-22b0-4842-b9a0-75767b81a1e0.zarr,EMPIAR-11380
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-11380/52aa543c-659a-4522-bd37-cbfa4764dd17/52aa543c-659a-4522-bd37-cbfa4764dd17.zarr,EMPIAR-11380
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-11380/5aec07ee-df5d-4ea4-ac32-fa55419464d6/5aec07ee-df5d-4ea4-ac32-fa55419464d6.zarr,EMPIAR-11380
https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/EMPIAR-11380/a7c25fbf-0e40-4f7a-87c7-7798a05f2a4f/a7c25fbf-0e40-4f7a-87c7-7798a05f2a4f.zarr,EMPIAR-11380
